Marker,Chr,Col Phys Pos,Gen. Pos (LargeMap)
C5_1173362,5,1173362,7.534
C5_11847825,5,11847825,39.873
C5_11977761,5,11977761,40.805
C5_12209645,5,12209645,40.943
C5_1235195,5,1235195,8.907
C5_125518,5,125518,4.853
C5_12639802,5,12639802,40.839
C5_13007508,5,13007508,40.657
C5_13126793,5,13126793,41.448
C5_13402555,5,13402555,40.535
C5_13411621,5,13411621,40.285
C5_13475381,5,13475381,40.071
C5_13566961,5,13566961,41.773
C5_13696164,5,13696164,41.28
C5_13770597,5,13770597,42.562
C5_13792589,5,13792589,43.391
C5_1389240,5,1389240,7.207
C5_14008805,5,14008805,42.982
C5_14092297,5,14092297,43.071
C5_14113888,5,14113888,43.86
C5_14195771,5,14195771,42.652
C5_14205565,5,14205565,44.963
C5_14212876,5,14212876,42.154
C5_14723999,5,14723999,45.446
C5_14738601,5,14738601,44.46
C5_14862037,5,14862037,44.689
C5_14958192,5,14958192,45.797
C5_14997303,5,14997303,46.124
C5_15116412,5,15116412,47.734
C5_15232940,5,15232940,47.795
C5_15276554,5,15276554,48.21
C5_15416562,5,15416562,47.09
C5_1543299,5,1543299,7.969
C5_15434591,5,15434591,48.53
C5_15441440,5,15441440,47.376
C5_15620837,5,15620837,50.385
C5_15674978,5,15674978,48.822
C5_15833034,5,15833034,50.923
C5_15881140,5,15881140,50.653
C5_15907702,5,15907702,50.495
C5_15907734,5,15907734,51.121
C5_15987105,5,15987105,51.486
C5_16033069,5,16033069,51.088
C5_16348883,5,16348883,50.082
C5_16500156,5,16500156,52.224
C5_16605985,5,16605985,52.096
C5_16814354,5,16814354,52.602
C5_16899584,5,16899584,52.999
C5_17136953,5,17136953,53.644
C5_17485719,5,17485719,54.543
C5_17519772,5,17519772,54.809
C5_17546962,5,17546962,55.785
C5_17590247,5,17590247,55.549
C5_17632154,5,17632154,56.37
C5_17675844,5,17675844,55.235
C5_1768579,5,1768579,9.009
C5_17830017,5,17830017,55.977
C5_17887865,5,17887865,56.214
C5_17964356,5,17964356,57.562
C5_18091244,5,18091244,56.849
C5_18173964,5,18173964,57.7
C5_18325171,5,18325171,57.873
C5_1835332,5,1835332,8.233
C5_18515329,5,18515329,57.101
C5_18637845,5,18637845,57.36
C5_18695,5,18695,4.955
C5_18756645,5,18756645,58.416
C5_18880919,5,18880919,58.207
C5_18963342,5,18963342,59.365
C5_19003597,5,19003597,59.875
C5_19219500,5,19219500,59.604
C5_19347144,5,19347144,61.367
C5_19383918,5,19383918,61.471
C5_1956241,5,1956241,9.282
C5_19731984,5,19731984,61.677
C5_19926693,5,19926693,62.195
C5_20198935,5,20198935,62.351
C5_20250252,5,20250252,62.692
C5_20487057,5,20487057,62.003
C5_20647561,5,20647561,62.055
C5_20730288,5,20730288,63.599
C5_20929009,5,20929009,63.925
C5_20988882,5,20988882,63.201
C5_21087739,5,21087739,64.675
C5_21106454,5,21106454,64.585
C5_21223915,5,21223915,66.064
C5_21403690,5,21403690,65.758
C5_21435322,5,21435322,66.718
C5_21601855,5,21601855,65.885
C5_2167867,5,2167867,9.143
C5_21690498,5,21690498,66.529
C5_21736606,5,21736606,66.458
C5_22018838,5,22018838,66.519
C5_22059736,5,22059736,68.9
C5_22259506,5,22259506,65.458
C5_22447047,5,22447047,70.19
C5_22635947,5,22635947,69.925
C5_22755440,5,22755440,70.039
C5_22788570,5,22788570,69.742
C5_23025468,5,23025468,70.507
C5_23233138,5,23233138,69.203
C5_23275152,5,23275152,71.381
C5_23326688,5,23326688,70.929
C5_23770825,5,23770825,71.31
C5_23889174,5,23889174,71.629
C5_23908417,5,23908417,69.539
C5_23980228,5,23980228,72.389
C5_24130120,5,24130120,72.245
C5_24200037,5,24200037,72.061
C5_24361934,5,24361934,72.741
C5_24436961,5,24436961,72.959
C5_24599755,5,24599755,73.501
C5_24734264,5,24734264,74.255
C5_24796521,5,24796521,74.447
C5_2509211,5,2509211,10.627
C5_25124845,5,25124845,75.274
C5_25214399,5,25214399,74.934
C5_25300300,5,25300300,74.743
C5_25302147,5,25302147,73.906
C5_253030,5,253030,5.099
C5_25341145,5,25341145,75.045
C5_25407678,5,25407678,76.037
C5_25538680,5,25538680,76.594
C5_25565750,5,25565750,77.653
C5_2566591,5,2566591,10.994
C5_25708060,5,25708060,78.289
C5_25752651,5,25752651,77.064
C5_25782442,5,25782442,77.333
C5_25929358,5,25929358,77.214
C5_26011048,5,26011048,78.038
C5_26080917,5,26080917,78.413
C5_26162025,5,26162025,80.43
C5_26396744,5,26396744,80.93
C5_26597025,5,26597025,82.149
C5_26661142,5,26661142,81.812
C5_26758064,5,26758064,81.463
C5_26813856,5,26813856,81.328
C5_26975288,5,26975288,82.472
C5_2755458,5,2755458,11.402
C5_2953003,5,2953003,10.819
C5_3069342,5,3069342,11.53
C5_3389662,5,3389662,11.899
C5_3499022,5,3499022,12.012
C5_3561394,5,3561394,12.319
C5_3620399,5,3620399,12.919
C5_3640581,5,3640581,12.54
C5_3828483,5,3828483,12.71
C5_3913044,5,3913044,13.401
C5_3967412,5,3967412,13.899
C5_4014226,5,4014226,13.645
C5_4285595,5,4285595,16.488
C5_44449,5,44449,4.685
C5_4486243,5,4486243,16.473
C5_4659907,5,4659907,16.359
C5_480847,5,480847,5.241
C5_4848540,5,4848540,16.755
C5_5096305,5,5096305,17.06
C5_5191783,5,5191783,17.538
C5_5241548,5,5241548,17.599
C5_5298594,5,5298594,17.997
C5_5445545,5,5445545,18.284
C5_5561885,5,5561885,19.072
C5_566118,5,566118,9.572
C5_5806039,5,5806039,19.323
C5_5931591,5,5931591,18.604
C5_5993524,5,5993524,19.466
C5_6251965,5,6251965,19.008
C5_6298487,5,6298487,20.048
C5_6416383,5,6416383,20.444
C5_6688659,5,6688659,21.859
C5_6891226,5,6891226,22.473
C5_7197383,5,7197383,22.366
C5_7245056,5,7245056,20.879
C5_7267623,5,7267623,24.237
C5_7423327,5,7423327,24.063
C5_7475652,5,7475652,24.428
C5_7788024,5,7788024,25.102
C5_7896409,5,7896409,24.712
C5_791233,5,791233,6.788
C5_7957606,5,7957606,24.754
C5_8001543,5,8001543,24.912
C5_8040504,5,8040504,24.925
C5_8118426,5,8118426,25.453
C5_8129064,5,8129064,25.549
C5_8350672,5,8350672,25.724
C5_8581728,5,8581728,27.42
C5_8740290,5,8740290,28.953
C5_8823657,5,8823657,29.777
C5_8885932,5,8885932,29.933
C5_896146,5,896146,7.5
C5_8989409,5,8989409,31.381
C5_9076201,5,9076201,31.765
C5_9096886,5,9096886,32.93
C5_9128379,5,9128379,33.196
C5_9172155,5,9172155,35.519
C5_9313646,5,9313646,33.48
C5_9360716,5,9360716,36.112
C5_9417299,5,9417299,34.916
C5_9538949,5,9538949,36.48
C5_9608499,5,9608499,36.348
C5_9766146,5,9766146,35.984
C5_9821626,5,9821626,35.683
C5_9941038,5,9941038,36.846
C5_9991762,5,9991762,38.31
C5_9995956,5,9995956,39.329
MSAT1.1,1,26398711,93.184
MSAT1.3,1,8322175,27.525
MSAT1.5,1,29016886,103.078
MSAT2.18,2,2799644,20.107
MSAT2.22,2,19632943,80.077
MSAT2.38,2,2457014,19.838
MSAT2.41,2,11095452,53.129
MSAT2.5,2,208178,0
MSAT2.7,2,13192607,63.411
MSAT2.9,2,18152580,76.615
MSAT3.28,3,20467747,80.751
MSAT3.32,3,11208231,49.297
MSAT3.5,3,8473561,33.768
MSAT3.6,3,8467190,32.862
MSAT4.17,4,7147724,37.035
Msat4.19,4,12093223,56.442
MSAT4.30,4,17850661,80.77
MSAT4.35,4,7549254,36.723
MSAT4.37,4,18336495,82.667
MSAT4.8,4,407010,4.296
MSAT5.1,5,13924203,37.655
MSAT5.13,5,21944845,67.749
MSAT5.14,5,7498509,23.443
MSAT5.18,5,26321176,85.557
MSAT5.9,5,17252309,49.207
